# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/dallas-county-districts/overall-score-highest
# rows: 40 (excluding this header and the column row)
# ranking: Dallas County school districts with the highest overall score in 2025-26
# population: 40 districts of 42 districts are ranked here.
# population: 2 were not rated by TEA for 2025-26 and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,40,0,057911,Highland Park ISD,Dallas,A,95,6215,https://txschools.net/district/highland-park-isd-057911
2,40,0,057919,Sunnyvale ISD,Dallas,A,94,2313,https://txschools.net/district/sunnyvale-isd-057919
3,40,1,057922,Coppell ISD,Dallas,A,93,13047,https://txschools.net/district/coppell-isd-057922
3,40,1,057808,Universal Academy,Dallas,A,93,2051,https://txschools.net/district/universal-academy-057808
5,40,0,057834,Evolution Academy Charter School,Dallas,A,90,639,https://txschools.net/district/evolution-academy-charter-school-057834
6,40,0,057845,UME Preparatory Academy,Dallas,B,89,1766,https://txschools.net/district/ume-preparatory-academy-057845
7,40,0,057836,St Anthony School,Dallas,B,87,321,https://txschools.net/district/st-anthony-school-057836
8,40,0,057909,Garland ISD,Dallas,B,86,49060,https://txschools.net/district/garland-isd-057909
9,40,2,057905,Dallas ISD,Dallas,B,85,134302,https://txschools.net/district/dallas-isd-057905
9,40,2,057846,Legacy Preparatory,Dallas,B,85,914,https://txschools.net/district/legacy-preparatory-057846
9,40,2,057828,Winfree Academy Charter Schools,Dallas,B,85,1051,https://txschools.net/district/winfree-academy-charter-schools-057828
12,40,0,057916,Richardson ISD,Dallas,B,83,36142,https://txschools.net/district/richardson-isd-057916
13,40,1,057844,Manara Academy,Dallas,B,82,658,https://txschools.net/district/manara-academy-057844
13,40,1,057847,Village Tech Schools,Dallas,B,82,1330,https://txschools.net/district/village-tech-schools-057847
15,40,3,057903,Carrollton-Farmers Branch ISD,Dallas,B,81,22831,https://txschools.net/district/carrollton-farmers-branch-isd-057903
15,40,3,057848,International Leadership of Texas (ILTexas),Dallas,B,81,26257,https://txschools.net/district/international-leadership-of-texas-iltexas-057848
15,40,3,057827,Nova Academy Southeast,Dallas,B,81,181,https://txschools.net/district/nova-academy-southeast-057827
15,40,3,057804,Texans Can Academies,Dallas,B,81,2880,https://txschools.net/district/texans-can-academies-057804
19,40,4,057910,Grand Prairie ISD,Dallas,B,80,25445,https://txschools.net/district/grand-prairie-isd-057910
19,40,4,057913,Lancaster ISD,Dallas,B,80,6431,https://txschools.net/district/lancaster-isd-057913
19,40,4,057807,Life School,Dallas,B,80,5560,https://txschools.net/district/life-school-057807
19,40,4,057914,Mesquite ISD,Dallas,B,80,36585,https://txschools.net/district/mesquite-isd-057914
19,40,4,057803,Uplift Education,Dallas,B,80,23539,https://txschools.net/district/uplift-education-057803
24,40,1,057829,A' Academy,Dallas,C,79,1703,https://txschools.net/district/a-academy-057829
24,40,1,057850,Pioneer Technology & Arts Academy,Dallas,C,79,2400,https://txschools.net/district/pioneer-technology-arts-academy-057850
26,40,0,057912,Irving ISD,Dallas,C,78,29182,https://txschools.net/district/irving-isd-057912
27,40,0,057806,Advantage Academy,Dallas,C,77,909,https://txschools.net/district/advantage-academy-057806
28,40,0,057839,La Academia De Estrellas,Dallas,C,76,1021,https://txschools.net/district/la-academia-de-estrellas-057839
29,40,0,057813,Trinity Basin Preparatory,Dallas,C,75,6741,https://txschools.net/district/trinity-basin-preparatory-057813
30,40,0,057841,Cityscape Schools,Dallas,C,74,1218,https://txschools.net/district/cityscape-schools-057841
31,40,1,057904,Cedar Hill ISD,Dallas,C,72,5876,https://txschools.net/district/cedar-hill-isd-057904
31,40,1,057907,Duncanville ISD,Dallas,C,72,10988,https://txschools.net/district/duncanville-isd-057907
33,40,1,057906,Desoto ISD,Dallas,C,71,5564,https://txschools.net/district/desoto-isd-057906
33,40,1,057830,Inspired Vision Academy,Dallas,C,71,1103,https://txschools.net/district/inspired-vision-academy-057830
35,40,1,057831,Gateway Charter Academy,Dallas,D,69,430,https://txschools.net/district/gateway-charter-academy-057831
35,40,1,057819,Jean Massieu Academy,Dallas,D,69,172,https://txschools.net/district/jean-massieu-academy-057819
37,40,0,057835,Golden Rule Charter School,Dallas,D,68,1285,https://txschools.net/district/golden-rule-charter-school-057835
38,40,0,057833,Education Center International Academy,Dallas,D,67,144,https://txschools.net/district/education-center-international-academy-057833
39,40,0,057802,Pegasus School of Liberal Arts and Sciences,Dallas,D,66,277,https://txschools.net/district/pegasus-school-of-liberal-arts-and-sciences-057802
40,40,0,057809,Nova Academy,Dallas,F,47,67,https://txschools.net/district/nova-academy-057809
