# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/tarrant-county-districts/overall-score-declines
# rows: 16 (excluding this header and the column row)
# ranking: Tarrant County school districts with the largest overall score declines since 2021-22
# population: 16 districts of 16 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2021_22,2025_26,enrollment,url
1,16,1,220918,Eagle Mt-Saginaw ISD,Tarrant,C,-6,83,77,24147,https://txschools.net/district/eagle-mt-saginaw-isd-220918
1,16,1,220904,Everman ISD,Tarrant,C,-6,81,75,4704,https://txschools.net/district/everman-isd-220904
3,16,0,220915,Azle ISD,Tarrant,C,-3,81,78,7166,https://txschools.net/district/azle-isd-220915
4,16,0,220919,Carroll ISD,Tarrant,A,-2,95,93,7866,https://txschools.net/district/carroll-isd-220919
5,16,0,220916,Hurst-Euless-Bedford ISD,Tarrant,B,-1,88,87,23159,https://txschools.net/district/hurst-euless-bedford-isd-220916
6,16,3,220901,Arlington ISD,Tarrant,C,0,78,78,51102,https://txschools.net/district/arlington-isd-220901
6,16,3,220902,Birdville ISD,Tarrant,C,0,79,79,22044,https://txschools.net/district/birdville-isd-220902
6,16,3,220907,Keller ISD,Tarrant,B,0,84,84,30440,https://txschools.net/district/keller-isd-220907
6,16,3,220910,Lake Worth ISD,Tarrant,D,0,69,69,3165,https://txschools.net/district/lake-worth-isd-220910
10,16,0,220920,White Settlement ISD,Tarrant,C,1,74,75,6684,https://txschools.net/district/white-settlement-isd-220920
11,16,1,220912,Crowley ISD,Tarrant,B,2,78,80,17052,https://txschools.net/district/crowley-isd-220912
11,16,1,220914,Kennedale ISD,Tarrant,B,2,79,81,2659,https://txschools.net/district/kennedale-isd-220914
13,16,0,220906,Grapevine-Colleyville ISD,Tarrant,A,4,87,91,13343,https://txschools.net/district/grapevine-colleyville-isd-220906
14,16,0,220908,Mansfield ISD,Tarrant,B,5,82,87,34654,https://txschools.net/district/mansfield-isd-220908
15,16,0,220905,Fort Worth ISD,Tarrant,C,6,71,77,67315,https://txschools.net/district/fort-worth-isd-220905
16,16,0,220917,Castleberry ISD,Tarrant,B,10,78,88,3755,https://txschools.net/district/castleberry-isd-220917
