# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/region-05-districts/overall-score-lowest
# rows: 36 (excluding this header and the column row)
# ranking: Region 05: Beaumont school districts with the lowest overall score in 2025-26
# population: 36 districts of 36 districts are ranked here.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,enrollment,url
1,36,0,146905,Hull-Daisetta ISD,Liberty,D,63,425,https://txschools.net/district/hull-daisetta-isd-146905
2,36,0,229903,Woodville ISD,Tyler,D,67,1169,https://txschools.net/district/woodville-isd-229903
3,36,0,123910,Beaumont ISD,Jefferson,D,69,15838,https://txschools.net/district/beaumont-isd-123910
4,36,2,176901,Burkeville ISD,Newton,C,71,245,https://txschools.net/district/burkeville-isd-176901
4,36,2,121904,Jasper ISD,Jasper,C,71,1947,https://txschools.net/district/jasper-isd-121904
4,36,2,123907,Port Arthur ISD,Jefferson,C,71,7664,https://txschools.net/district/port-arthur-isd-123907
7,36,0,036901,Anahuac ISD,Chambers,C,72,1533,https://txschools.net/district/anahuac-isd-036901
8,36,2,146904,Hardin ISD,Liberty,C,73,1175,https://txschools.net/district/hardin-isd-146904
8,36,2,229904,Warren ISD,Tyler,C,73,1178,https://txschools.net/district/warren-isd-229904
8,36,2,181906,West Orange-Cove CISD,Orange,C,73,2502,https://txschools.net/district/west-orange-cove-cisd-181906
11,36,2,229901,Colmesneil ISD,Tyler,C,74,388,https://txschools.net/district/colmesneil-isd-229901
11,36,2,100904,Silsbee ISD,Hardin,C,74,2377,https://txschools.net/district/silsbee-isd-100904
11,36,2,100908,West Hardin County CISD,Hardin,C,74,506,https://txschools.net/district/west-hardin-county-cisd-100908
14,36,1,146906,Liberty ISD,Liberty,C,76,2406,https://txschools.net/district/liberty-isd-146906
14,36,1,181907,Vidor ISD,Orange,C,76,4095,https://txschools.net/district/vidor-isd-181907
16,36,0,181908,Little Cypress-Mauriceville CISD,Orange,C,77,3342,https://txschools.net/district/little-cypress-mauriceville-cisd-181908
17,36,0,121905,Kirbyville CISD,Jasper,C,78,1443,https://txschools.net/district/kirbyville-cisd-121905
18,36,4,181901,Bridge City ISD,Orange,C,79,3072,https://txschools.net/district/bridge-city-isd-181901
18,36,4,121903,Buna ISD,Jasper,C,79,1412,https://txschools.net/district/buna-isd-121903
18,36,4,176903,Deweyville ISD,Newton,C,79,574,https://txschools.net/district/deweyville-isd-176903
18,36,4,100903,Kountze ISD,Hardin,C,79,1163,https://txschools.net/district/kountze-isd-100903
18,36,4,176902,Newton ISD,Newton,C,79,946,https://txschools.net/district/newton-isd-176902
23,36,0,229905,Spurger ISD,Tyler,B,80,375,https://txschools.net/district/spurger-isd-229905
24,36,0,181905,Orangefield ISD,Orange,B,82,1727,https://txschools.net/district/orangefield-isd-181905
25,36,1,121902,Brookeland ISD,Jasper,B,83,391,https://txschools.net/district/brookeland-isd-121902
25,36,1,123908,Port Neches-Groves ISD,Jefferson,B,83,5289,https://txschools.net/district/port-neches-groves-isd-123908
27,36,0,100907,Lumberton ISD,Hardin,B,84,4039,https://txschools.net/district/lumberton-isd-100907
28,36,2,036903,East Chambers ISD,Chambers,B,85,1563,https://txschools.net/district/east-chambers-isd-036903
28,36,2,123914,Hamshire-Fannett ISD,Jefferson,B,85,1947,https://txschools.net/district/hamshire-fannett-isd-123914
28,36,2,084903,High Island ISD,Galveston,B,85,122,https://txschools.net/district/high-island-isd-084903
31,36,0,123913,Sabine Pass ISD,Jefferson,B,86,373,https://txschools.net/district/sabine-pass-isd-123913
32,36,0,100905,Hardin-Jefferson ISD,Hardin,B,87,2828,https://txschools.net/district/hardin-jefferson-isd-100905
33,36,0,229906,Chester ISD,Tyler,B,89,186,https://txschools.net/district/chester-isd-229906
34,36,1,121906,Evadale ISD,Jasper,A,90,450,https://txschools.net/district/evadale-isd-121906
34,36,1,123905,Nederland ISD,Jefferson,A,90,5359,https://txschools.net/district/nederland-isd-123905
36,36,0,146903,Devers ISD,Liberty,A,93,198,https://txschools.net/district/devers-isd-146903
